RPM, INJ(0.1msec), IGN(CA)
400, 90, 45
800, 90, 45
1200,90, 45
1600,90, 55
2000,90, 65
2400,90, 76
2800,90, 88
3200,90, 101
3600,90, 115
4000,90, 130
4400,90, 146
4800,90, 146
5200,90, 146
5600,90, 146
6000,90, 146
