RPM, INJ(0.1msec), IGN(CA)
400,90,20
800,90,20
1200,90,20
1600,90,30
2000,90,25
2400,90,25
2800,90,30
3200,90,40
3600,90,45
4000,70,55
4400,70,55
4800,63,55
5200,57,55
5600,57,55
6000,57,55
