"[2023-09-23 14:10:03.777] 651.49[rpm]	Before: 806452658[us]	After: 806636851[us]	Width: 184193[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 806637493 [us]	IGN_OFF: 806638508 [us]	INJ_ON: 806724427 [us]	INJ_OFF: 806725529 [us]"
"[2023-09-23 14:10:03.953] 686.62[rpm]	Before: 806636851[us]	After: 806811619[us]	Width: 174768[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 806812262 [us]	IGN_OFF: 806813278 [us]	INJ_ON: 806893631 [us]	INJ_OFF: 806894731 [us]"
"[2023-09-23 14:10:04.117] 730.06[rpm]	Before: 806811619[us]	After: 806975990[us]	Width: 164371[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 806975976 [us]	IGN_OFF: 806976992 [us]	INJ_ON: 807054591 [us]	INJ_OFF: 807055691 [us]"
"[2023-09-23 14:10:04.275] 758.89[rpm]	Before: 806975990[us]	After: 807134115[us]	Width: 158125[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 807134755 [us]	IGN_OFF: 807134015 [us]	INJ_ON: 807210866 [us]	INJ_OFF: 807211968 [us]"
"[2023-09-23 14:10:04.429] 774.79[rpm]	Before: 807134115[us]	After: 807288996[us]	Width: 154881[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 807289639 [us]	IGN_OFF: 807290653 [us]	INJ_ON: 807364772 [us]	INJ_OFF: 807365872 [us]"
"[2023-09-23 14:10:04.585] 781.98[rpm]	Before: 807288996[us]	After: 807442452[us]	Width: 153456[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 807442438 [us]	IGN_OFF: 807443442 [us]	INJ_ON: 807517255 [us]	INJ_OFF: 807518357 [us]"
"[2023-09-23 14:10:04.737] 797.69[rpm]	Before: 807442452[us]	After: 807592887[us]	Width: 150435[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 807593519 [us]	IGN_OFF: 807593001 [us]	INJ_ON: 807665745 [us]	INJ_OFF: 807666848 [us]"
"[2023-09-23 14:10:04.882] 818.47[rpm]	Before: 807592887[us]	After: 807739502[us]	Width: 146615[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 807740147 [us]	IGN_OFF: 807741162 [us]	INJ_ON: 807810457 [us]	INJ_OFF: 807811562 [us]"
"[2023-09-23 14:10:05.025] 837.42[rpm]	Before: 807739502[us]	After: 807882799[us]	Width: 143297[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 807883790 [us]	IGN_OFF: 807883573 [us]	INJ_ON: 807952443 [us]	INJ_OFF: 807953544 [us]"
"[2023-09-23 14:10:05.164] 853.35[rpm]	Before: 807882799[us]	After: 808023422[us]	Width: 140623[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 808023408 [us]	IGN_OFF: 808024428 [us]	INJ_ON: 808091831 [us]	INJ_OFF: 808092931 [us]"
"[2023-09-23 14:10:05.304] 868.59[rpm]	Before: 808023422[us]	After: 808161577[us]	Width: 138155[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 808162180 [us]	IGN_OFF: 808162003 [us]	INJ_ON: 808229304 [us]	INJ_OFF: 808229000 [us]"
"[2023-09-23 14:10:05.442] 876.26[rpm]	Before: 808161577[us]	After: 808298522[us]	Width: 136945[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 808299137 [us]	IGN_OFF: 808300139 [us]	INJ_ON: 808365051 [us]	INJ_OFF: 808366152 [us]"
"[2023-09-23 14:10:05.577] 892.87[rpm]	Before: 808298522[us]	After: 808432920[us]	Width: 134398[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 808432908 [us]	IGN_OFF: 808433929 [us]	INJ_ON: 808498335 [us]	INJ_OFF: 808499439 [us]"
"[2023-09-23 14:10:05.705] 910.31[rpm]	Before: 808432920[us]	After: 808564743[us]	Width: 131823[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 808565376 [us]	IGN_OFF: 808565003 [us]	INJ_ON: 808628735 [us]	INJ_OFF: 808629836 [us]"
"[2023-09-23 14:10:05.835] 929.40[rpm]	Before: 808564743[us]	After: 808693858[us]	Width: 129115[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 808694502 [us]	IGN_OFF: 808695518 [us]	INJ_ON: 808756258 [us]	INJ_OFF: 808757358 [us]"
"[2023-09-23 14:10:05.961] 954.29[rpm]	Before: 808693858[us]	After: 808819606[us]	Width: 125748[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 808820235 [us]	IGN_OFF: 808821250 [us]	INJ_ON: 808879950 [us]	INJ_OFF: 808881054 [us]"
"[2023-09-23 14:10:06.081] 985.77[rpm]	Before: 808819606[us]	After: 808941338[us]	Width: 121732[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 808941980 [us]	IGN_OFF: 808942996 [us]	INJ_ON: 809000117 [us]	INJ_OFF: 809001218 [us]"
"[2023-09-23 14:10:06.201] 1014.16[rpm]	Before: 808941338[us]	After: 809059663[us]	Width: 118325[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 809059650 [us]	IGN_OFF: 809060650 [us]	INJ_ON: 809117047 [us]	INJ_OFF: 809118152 [us]"
"[2023-09-23 14:10:06.316] 1038.95[rpm]	Before: 809059663[us]	After: 809175164[us]	Width: 115501[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 809175150 [us]	IGN_OFF: 809176180 [us]	INJ_ON: 809230827 [us]	INJ_OFF: 809231928 [us]"
"[2023-09-23 14:10:06.431] 1068.79[rpm]	Before: 809175164[us]	After: 809287441[us]	Width: 112277[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 809288086 [us]	IGN_OFF: 809288003 [us]	INJ_ON: 809341639 [us]	INJ_OFF: 809342741 [us]"
"[2023-09-23 14:10:06.541] 1095.50[rpm]	Before: 809287441[us]	After: 809396980[us]	Width: 109539[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 809397628 [us]	IGN_OFF: 809398643 [us]	INJ_ON: 809450319 [us]	INJ_OFF: 809451419 [us]"
"[2023-09-23 14:10:06.648] 1113.73[rpm]	Before: 809396980[us]	After: 809504726[us]	Width: 107746[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 809505371 [us]	IGN_OFF: 809506386 [us]	INJ_ON: 809557099 [us]	INJ_OFF: 809558204 [us]"
"[2023-09-23 14:10:06.754] 1135.59[rpm]	Before: 809504726[us]	After: 809610398[us]	Width: 105672[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 809611049 [us]	IGN_OFF: 809612065 [us]	INJ_ON: 809661769 [us]	INJ_OFF: 809662873 [us]"
