
[2023-09-24 20:51:54.028] 1698.11[rpm]	Before: 24705087[us]	After: 24775754[us]	Width: 70667[us]	INJ: 1.10[ms]	IGN: 0[CA]	INJON: 24740232[us]	INJOFF: 24740002[us]	IGNON: 24775269[us]	IGNOFF: 24705926[us]
[2023-09-24 20:51:54.096] 1764.01[rpm]	Before: 24775754[us]	After: 24843781[us]	Width: 68027[us]	INJ: 1.10[ms]	IGN: 0[CA]	INJON: 24809688[us]	INJOFF: 24810811[us]	IGNON: 24843305[us]	IGNOFF: 24776595[us]
[2023-09-24 20:51:54.167] 1850.97[rpm]	Before: 24843781[us]	After: 24908612[us]	Width: 64831[us]	INJ: 1.10[ms]	IGN: 0[CA]	INJON: 24876093[us]	INJOFF: 24877216[us]	IGNON: 24908168[us]	IGNOFF: 24844631[us]
[2023-09-24 20:51:54.223] 1937.55[rpm]	Before: 24908612[us]	After: 24970546[us]	Width: 61934[us]	INJ: 1.10[ms]	IGN: 0[CA]	INJON: 24939472[us]	INJOFF: 24940595[us]	IGNON: 24970125[us]	IGNOFF: 24909602[us]
[2023-09-24 20:51:54.282] 2023.20[rpm]	Before: 24970546[us]	After: 25029858[us]	Width: 59312[us]	INJ: 1.15[ms]	IGN: 0[CA]	INJON: 25000097[us]	INJOFF: 25001220[us]	IGNON: 25029445[us]	IGNOFF: 24971406[us]
[2023-09-24 20:51:54.339] 2104.34[rpm]	Before: 25029858[us]	After: 25086883[us]	Width: 57025[us]	INJ: 1.15[ms]	IGN: 0[CA]	INJON: 25058153[us]	INJOFF: 25059305[us]	IGNON: 25086476[us]	IGNOFF: 25030702[us]
[2023-09-24 20:51:54.395] 2148.07[rpm]	Before: 25086883[us]	After: 25142747[us]	Width: 55864[us]	INJ: 1.15[ms]	IGN: 0[CA]	INJON: 25114574[us]	INJOFF: 25115747[us]	IGNON: 25142359[us]	IGNOFF: 25087738[us]
[2023-09-24 20:51:54.450] 2182.77[rpm]	Before: 25142747[us]	After: 25197723[us]	Width: 54976[us]	INJ: 1.15[ms]	IGN: 0[CA]	INJON: 25169977[us]	INJOFF: 25171131[us]	IGNON: 25197349[us]	IGNOFF: 25143592[us]
[2023-09-24 20:51:54.504] 2244.46[rpm]	Before: 25197723[us]	After: 25251188[us]	Width: 53465[us]	INJ: 1.15[ms]	IGN: 0[CA]	INJON: 25224359[us]	INJOFF: 25225532[us]	IGNON: 25250814[us]	IGNOFF: 25198586[us]
[2023-09-24 20:51:54.555] 2325.18[rpm]	Before: 25251188[us]	After: 25302797[us]	Width: 51609[us]	INJ: 1.15[ms]	IGN: 0[CA]	INJON: 25276811[us]	INJOFF: 25277984[us]	IGNON: 25302438[us]	IGNOFF: 25252004[us]
